epoch,train_loss,val_bleu1,val_bleu2,val_bleu3,val_bleu4,seconds
1,5.351953,0.391216,0.256437,0.158236,0.097583,267.38
2,4.340961,0.533823,0.362777,0.232193,0.148629,275.80
3,4.012524,0.545409,0.373853,0.241905,0.155529,275.01
4,3.805611,0.574504,0.396263,0.257030,0.166903,272.96
5,3.645292,0.623813,0.431149,0.281336,0.183611,272.30
6,3.521957,0.624201,0.435786,0.289817,0.187161,280.19
7,3.370514,0.603634,0.418715,0.280008,0.182665,283.19
8,3.233283,0.623229,0.432796,0.289943,0.191984,284.83
9,3.108027,0.615870,0.429751,0.284317,0.184994,281.49
10,2.997215,0.585951,0.405822,0.273711,0.182210,279.85
11,2.887353,0.590972,0.409273,0.272696,0.179665,281.85
12,2.786884,0.608073,0.422648,0.282962,0.186323,280.98
13,2.593787,0.610309,0.422007,0.280164,0.183846,278.51
14,2.516354,0.598522,0.412025,0.271883,0.178297,275.52
15,2.456155,0.583788,0.399116,0.260936,0.166668,280.80
16,2.406532,0.585929,0.400603,0.264007,0.169402,282.86
17,2.293179,0.588291,0.401257,0.262399,0.168388,280.83
18,2.257866,0.595696,0.406835,0.267224,0.172800,280.66
