epoch,train_loss,val_bleu1,val_bleu2,val_bleu3,val_bleu4,seconds
1,5.371711,0.551264,0.366145,0.228258,0.141094,537.62
2,4.369573,0.529833,0.355867,0.229838,0.149443,389.01
3,4.038023,0.599769,0.415356,0.275410,0.180550,389.45
4,3.825893,0.593772,0.409016,0.268566,0.175382,385.74
5,3.658092,0.575191,0.391304,0.255227,0.166607,388.32
6,3.538167,0.589004,0.406086,0.271483,0.181311,397.27
7,3.376557,0.613398,0.426109,0.285401,0.189941,405.59
8,3.239827,0.594357,0.413182,0.279032,0.186078,404.06
9,3.119161,0.616540,0.418990,0.275540,0.179507,399.97
10,3.001018,0.608614,0.416453,0.277972,0.184601,402.63
11,2.898775,0.594173,0.405832,0.268528,0.176801,404.25
12,2.700088,0.611327,0.421464,0.282976,0.189010,403.33
13,2.625773,0.610685,0.425224,0.287073,0.192324,400.75
14,2.562258,0.587145,0.399608,0.267416,0.179717,404.18
15,2.500839,0.589894,0.400525,0.264828,0.175778,379.86
16,2.446711,0.600468,0.407336,0.266005,0.174350,378.75
17,2.396857,0.588832,0.399362,0.265975,0.179597,375.31
