epoch,train_loss,mean_beta,val_bleu1,val_bleu2,val_bleu3,val_bleu4,seconds
1,5.370597,0.000925,0.370465,0.235979,0.142056,0.085142,264.78
2,4.382836,0.000053,0.560201,0.368983,0.228403,0.140925,256.22
3,4.055549,0.000020,0.590900,0.401242,0.262108,0.170480,262.06
4,3.847308,0.000011,0.592839,0.402251,0.260966,0.166505,257.79
5,3.690876,0.000005,0.624016,0.430798,0.282716,0.185450,251.86
6,3.574871,0.000006,0.605131,0.414821,0.272195,0.177826,272.92
7,3.424733,0.000004,0.622824,0.433313,0.287656,0.190910,272.17
8,3.297139,0.000003,0.596625,0.411691,0.272812,0.179872,272.92
9,3.184779,0.000002,0.617200,0.425205,0.281950,0.185718,273.20
10,3.084431,0.000002,0.592280,0.408455,0.273100,0.182179,275.10
11,2.985559,0.000001,0.584328,0.403117,0.270426,0.180449,274.31
12,2.814152,0.000001,0.595843,0.411191,0.274202,0.183694,276.15
13,2.747158,0.000000,0.610517,0.420339,0.281932,0.187006,273.14
14,2.691974,0.000001,0.614166,0.423417,0.281522,0.184615,274.06
15,2.642060,0.000001,0.611895,0.421217,0.281469,0.188378,272.98
16,2.546811,0.000003,0.601823,0.413445,0.275801,0.184376,276.52
17,2.513002,0.000002,0.594249,0.405687,0.271958,0.182718,276.59
